arist_id,artist_name,track_name,track_id,popularity,explicit,release_date,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
2v6V75NbousiJwy2HV44VL,450,Journey,6H9HS5fdxAUkYz5PYGmsOw,46,False,2021-08-06,0.555,0.618,5.0,-5.801,0.0782,0.483,0.0,0.13,0.447,121.574,188970.0,5.0,1.0
2v6V75NbousiJwy2HV44VL,450,Talk Tuff,1RqRHf7kKga46D9zIsaPSK,17,True,2021-08-19,0.728,0.741,0.0,-6.637,0.0955,0.015,0.0,0.34,0.4,115.039,171302.0,4.0,1.0
2v6V75NbousiJwy2HV44VL,450,Imperfections,0ISsHuxxDpoGl0HBZZosvT,42,True,2021-06-11,0.557,0.535,2.0,-5.933,0.083,0.0807,0.0,0.367,0.349,82.876,166687.0,4.0,1.0
2v6V75NbousiJwy2HV44VL,450,Too Strong,7cflrl6mtfHQe6LqNhl82w,15,True,2021-08-19,0.66,0.765,6.0,-6.479,0.0763,0.472,4.8e-06,0.124,0.596,172.044,234419.0,4.0,1.0
2v6V75NbousiJwy2HV44VL,450,Lonely,09xKd4n4sBe9PWaV1yZE4r,35,True,2021-02-15,0.544,0.563,11.0,-7.863,0.439,0.243,0.0,0.075,0.27,90.075,193802.0,4.0,0.0
2v6V75NbousiJwy2HV44VL,450,Gyal Thief,3gF2pkred8yEvtZmkIeGGd,42,True,2021-10-19,0.869,0.662,7.0,-6.014,0.13,0.16,0.0,0.0654,0.566,133.338,175439.0,5.0,1.0
2v6V75NbousiJwy2HV44VL,450,Highway,6ZBKNl23PRFLdgbyQk2oEs,27,True,2020-07-20,0.474,0.623,6.0,-6.47,0.175,0.261,0.0,0.141,0.459,100.557,184800.0,4.0,1.0
2v6V75NbousiJwy2HV44VL,450,One Time,2McaVTmq3zlHag67wyEphv,20,False,2020-03-23,0.855,0.563,11.0,-7.441,0.341,0.577,0.0,0.413,0.469,115.087,185135.0,4.0,1.0
2v6V75NbousiJwy2HV44VL,450,Fast Car,1DZ7DpnCco4PrCJscElok3,20,True,2021-08-19,0.749,0.803,0.0,-6.291,0.169,0.0649,0.0,0.352,0.743,104.121,171218.0,4.0,0.0
2v6V75NbousiJwy2HV44VL,450,New Wave,6A9L6BKdDj112WHd5Ox1Qm,23,False,2021-08-19,0.473,0.577,6.0,-5.154,0.0639,0.174,0.0,0.111,0.564,73.759,188468.0,3.0,1.0
2v6V75NbousiJwy2HV44VL,450,Too Strong,0Gv2wehpYXRroiNexPh5UC,0,True,2020-10-10,0.671,0.645,6.0,-9.56,0.0875,0.512,1.84e-05,0.153,0.604,172.035,234419.0,4.0,1.0
2v6V75NbousiJwy2HV44VL,450,Romantic Gangster,3ZGvv4jKNG1tLHCe9sbDol,23,True,2021-08-19,0.768,0.692,11.0,-6.117,0.223,0.191,0.0,0.0993,0.543,102.153,179055.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,X-Rated Country,3pYNpA9prDGdpTZDabJn8i,0,False,2012-04-03,0.643,0.575,0.0,-11.028,0.443,0.304,0.0,0.0638,0.743,169.205,211787.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,No Better Than Yard,4sCNMr6jvY0hb4hfFnhrsi,14,False,2011-06-25,0.755,0.5,6.0,-12.819,0.089,0.53,0.0,0.0974,0.652,170.115,234496.0,4.0,0.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Don't Be Lazy,2sf3PD8nlZV5MxZq6avEnB,0,False,2012-04-03,0.836,0.499,11.0,-10.917,0.116,0.113,0.0,0.0805,0.881,169.411,198613.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Put Your Right Foot In,0V3xPi78I9Hj2VSzXu70pz,1,False,2012-04-03,0.838,0.51,6.0,-11.226,0.298,0.349,0.0,0.215,0.748,165.977,204680.0,4.0,0.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Bad Man Gun,55D40K2vTVwfXwHMKQAQQ2,3,False,2021-10-15,0.863,0.668,9.0,-11.253,0.256,0.0938,0.0,0.037,0.888,165.141,230600.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Mi Ah The Danger,1qPmrHnBjFC2sGYRfJ8v5w,0,False,2011,0.919,0.709,11.0,-7.952,0.0683,0.0379,0.0,0.0723,0.935,143.545,191165.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Right Foot In,2lIaCOqbzUJdKBTGUJnEs9,1,False,2012-04-03,0.83,0.461,7.0,-11.856,0.31,0.234,0.0,0.19,0.708,170.516,201773.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Ha Fi Ina It,2HHYBsWdb4GpegNFO0gxml,4,False,2012-04-03,0.824,0.716,4.0,-11.701,0.212,0.0422,0.0,0.0382,0.951,177.961,228293.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Old Time Something,63TZ8ixkIoZpJ4FzovE0g2,6,False,2012-04-03,0.716,0.505,6.0,-14.032,0.0945,0.133,0.000359,0.0666,0.735,172.325,240733.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Come Pon Top,5Zqsmqxaj07DGeRlxaNS3t,0,False,2012-04-03,0.904,0.605,4.0,-10.397,0.175,0.242,4.77e-06,0.0391,0.655,89.84,227400.0,4.0,0.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Horse Tonic,5XC5Dq066DwDKMNj5UMEUX,0,False,1995,0.81,0.781,1.0,-5.66,0.122,0.149,0.0,0.125,0.855,156.68,190693.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Punnany,5UUFYAlaVxlwwWle61Karl,6,False,2012-04-03,0.716,0.475,11.0,-16.036,0.128,0.344,5.35e-06,0.31,0.411,89.114,211947.0,4.0,0.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Rock and Roll Chat,2M8zRRDI9ERQrngDqfjZIk,0,False,2012-04-03,0.712,0.728,8.0,-9.932,0.0738,0.426,5.78e-06,0.106,0.95,173.598,210453.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Politician,1xGj1Wm4fTWc7nWTN42JXv,0,False,1995,0.824,0.767,1.0,-4.198,0.0603,0.784,0.0,0.193,0.932,166.122,210693.0,4.0,0.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Come Pon Top,2oOtI6IiXiRNMwoVZrKIDG,8,False,2012-04-03,0.911,0.558,4.0,-11.754,0.19,0.133,0.0,0.0309,0.66,90.797,228867.0,4.0,0.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Winey Winey,7kcZJCoLfIBqfcNOmrkfHa,6,False,2012-04-03,0.863,0.555,7.0,-11.249,0.0638,0.227,0.0,0.1,0.826,93.689,221400.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Me Ah De Danger,3FMAj5uL12sJuowQJxipjz,0,False,2012-04-03,0.936,0.628,10.0,-9.315,0.0588,0.121,0.0,0.0547,0.967,141.161,198907.0,4.0,0.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Don't Have Mi Up,5ojony2iizZf8JyLoFJylf,3,False,2012-04-03,0.908,0.532,9.0,-12.106,0.135,0.414,6.45e-05,0.123,0.667,92.368,216387.0,4.0,1.0
